time,feed_c,out_c,feed_f,out_f,pressure,overflow_t,rake_s,rake_1,rake_2,rake_3,rake_4,out_f_setting,out_c_setting,reward,done,error,sum_error
2022-01-22 23:25:00,37.3,63.0,769.0,174.0,49.3,0.22399999999999998,45.0,25.7,25.1,26.0,25.8,150.0,62.5,-3.9983556783593692,0,-3.9983556783593692,-3.9983556783593692
2022-01-22 23:30:00,34.0,62.7,470.0,186.0,49.5,5.87,45.0,25.0,24.6,25.0,25.4,150.0,62.5,-3.706992650545283,0,-3.706992650545283,-6.905677193232778
2022-01-22 23:35:00,39.9,62.4,721.0,185.0,49.9,0.22399999999999998,45.0,24.1,25.4,25.0,25.2,150.0,62.5,-3.6685071502074833,0,-3.6685071502074833,-9.193048904793706
2022-01-22 23:40:00,35.1,62.6,774.0,179.0,51.0,0.22399999999999998,45.0,24.4,24.0,24.4,25.4,150.0,62.5,-3.6235364491626347,0,-3.6235364491626347,-10.9779755729976
2022-01-22 23:45:00,35.1,62.0,776.0,199.0,50.3,0.22399999999999998,45.0,24.7,24.6,24.9,24.7,150.0,62.5,-3.8834080437681813,0,-3.8834080437681813,-12.665788502166262
2022-01-22 23:50:00,33.7,62.9,590.0,175.0,50.7,0.22399999999999998,45.0,25.3,26.0,25.9,26.1,150.0,62.5,-3.9307760635510802,0,-3.9307760635510802,-14.06340686528409
2022-01-22 23:55:00,35.2,62.8,794.0,185.0,50.0,0.203,45.0,25.3,27.3,27.2,26.8,150.0,62.5,-3.97309164737749,0,-3.97309164737749,-15.223817139604764
2022-01-23 00:00:00,25.2,62.0,503.0,191.0,50.7,0.203,45.0,26.1,26.9,26.5,26.6,150.0,62.5,-4.11342692011503,0,-4.11342692011503,-16.292480631798842
2022-01-23 00:05:00,33.2,61.9,697.0,177.0,50.4,0.203,45.0,27.6,28.1,28.0,28.6,150.0,62.5,-4.446139652935439,0,-4.446139652935439,-17.48012415837451
2022-01-23 00:10:00,27.3,64.4,519.0,163.0,50.7,0.203,45.0,27.2,27.5,28.7,28.1,150.0,62.5,-7.667140842233158,0,-7.667140842233158,-21.651240168932766
2022-01-23 00:15:00,29.4,63.1,644.0,181.0,50.0,0.203,45.0,29.3,29.9,28.9,30.5,150.0,62.5,-4.701745266721448,0,-4.701745266721448,-22.022737401867662
2022-01-23 00:20:00,26.8,64.3,595.0,195.0,51.2,0.203,45.0,28.5,31.3,30.7,30.7,150.0,62.5,-7.701447887395918,0,-7.701447887395918,-25.31963780889005
2022-01-23 00:25:00,30.4,63.0,606.0,181.0,49.9,0.203,45.0,28.0,29.3,29.9,30.3,150.0,62.5,-4.547535282791473,0,-4.547535282791473,-24.803245529903513
2022-01-23 00:30:00,38.0,63.1,580.0,164.0,50.9,0.203,45.0,28.0,28.8,27.4,29.6,150.0,62.5,-4.507190816077741,0,-4.507190816077741,-24.349787240000555
2022-01-23 00:35:00,39.2,64.4,642.0,167.0,50.0,0.22399999999999998,45.0,29.3,28.8,29.0,30.5,150.0,62.5,-7.909798518400689,0,-7.909798518400689,-27.389628310401132
2022-01-23 00:40:00,32.7,63.7,641.0,199.0,50.4,0.22399999999999998,45.0,29.3,31.1,30.9,32.5,150.0,62.5,-6.023967585965101,0,-6.023967585965101,-27.935670234286007
2022-01-23 00:45:00,31.3,61.8,444.0,181.0,50.6,0.22399999999999998,45.0,30.9,31.5,31.6,31.6,150.0,62.5,-5.151718954559075,0,-5.151718954559075,-27.500255141987882
2022-01-23 00:50:00,36.3,61.9,583.0,177.0,51.0,0.22399999999999998,45.0,29.1,30.1,31.3,31.3,150.0,62.5,-4.846868837944028,0,-4.846868837944028,-26.847072951534336
2022-01-23 00:55:00,33.6,65.2,630.0,191.0,51.1,0.231,45.0,29.3,30.5,30.2,31.6,150.0,62.5,-11.7665725330533,0,-11.7665725330533,-33.24423089428077
2022-01-23 01:00:00,34.3,64.6,539.0,184.0,49.7,0.22399999999999998,45.0,29.3,30.3,30.6,30.5,150.0,62.5,-8.842897394312157,0,-8.842897394312157,-35.438282109736775
2022-01-23 01:05:00,37.7,62.6,623.0,194.0,50.0,0.22399999999999998,45.0,29.1,31.1,30.0,29.9,150.0,62.5,-4.418021206719302,0,-4.418021206719302,-32.76864689450872
2022-01-23 01:10:00,32.0,62.8,552.0,171.0,49.6,0.22399999999999998,45.0,28.9,29.1,30.4,31.5,150.0,62.5,-4.49351485333859,0,-4.49351485333859,-30.708432368945566
2022-01-23 01:15:00,36.9,64.1,549.0,173.0,49.9,0.217,45.0,29.6,30.1,30.2,30.4,150.0,62.5,-6.973851982640768,0,-6.973851982640768,-31.54059787779722
2022-01-23 01:25:00,38.3,62.9,626.0,181.0,49.1,0.22399999999999998,45.0,30.6,30.4,30.4,30.5,150.0,62.5,-4.645270517643282,0,-4.645270517643282,-29.877748819881063
2022-01-23 01:30:00,33.8,63.0,563.0,166.0,50.2,0.217,45.0,28.3,29.5,28.6,30.1,150.0,62.5,-4.504478256714897,0,-4.504478256714897,-28.40667731261975
2022-01-23 01:35:00,36.7,63.2,698.0,196.0,49.8,0.217,45.0,27.4,28.3,29.9,29.6,150.0,62.5,-4.694634053645495,0,-4.694634053645495,-27.419975903741296
2022-01-23 01:40:00,33.9,63.3,569.0,198.0,49.2,0.557,45.0,29.4,29.2,30.1,30.3,150.0,62.5,-4.997888217437583,0,-4.997888217437583,-26.93386894043062
2022-01-23 01:45:00,33.3,63.7,612.0,181.0,50.0,0.217,45.0,29.2,30.1,29.1,30.2,150.0,62.5,-5.780956173068951,0,-5.780956173068951,-27.328051325413448
2022-01-23 01:55:00,35.1,64.2,589.0,171.0,49.4,0.217,45.0,26.5,27.5,28.1,28.6,150.0,62.5,-6.918883780082186,0,-6.918883780082186,-28.781324840412946
2022-01-23 02:10:00,33.4,63.9,484.0,194.0,49.7,0.195,45.0,26.6,26.4,26.3,27.4,150.0,62.5,-5.844413285597694,0,-5.844413285597694,-28.869473157928056
2022-01-23 02:35:00,34.8,64.2,643.0,179.0,46.9,0.21,45.0,27.5,28.0,29.0,28.4,150.0,62.5,-7.000045412677,0,-7.000045412677,-30.095623939019447
2022-01-23 02:40:00,35.7,63.9,546.0,174.0,45.6,0.21,45.0,27.4,27.8,27.9,28.4,150.0,62.5,-6.016000957426545,0,-6.016000957426545,-30.092500108642103
2022-01-23 02:45:00,32.5,65.6,614.0,45.5,49.7,0.21,45.0,26.2,27.0,26.8,27.9,150.0,62.5,-13.536941420819947,0,-13.536941420819947,-37.61094150773363
2022-01-23 03:00:00,31.9,65.0,602.0,95.1,47.8,0.21,45.0,26.9,26.7,25.2,27.4,150.0,62.5,-10.119574739136503,0,-10.119574739136503,-40.208327945323404
2022-01-23 03:05:00,42.5,65.5,598.0,80.2,49.4,0.21,45.0,24.0,24.8,24.4,25.1,150.0,62.5,-12.616118052612702,0,-12.616118052612702,-44.78278040887143
2022-01-23 03:20:00,27.2,66.5,497.0,43.3,48.7,0.21,45.0,24.7,24.8,24.2,25.2,150.0,62.5,-19.633862720369425,0,-19.633862720369425,-55.46008704746657
2022-01-23 03:25:00,41.4,64.0,657.0,150.0,48.5,0.21,45.0,23.5,23.6,23.7,24.8,150.0,62.5,-5.788002327051166,0,-5.788002327051166,-50.15607196502443
