time,feed_c,out_c,feed_f,out_f,pressure,overflow_t,rake_s,rake_1,rake_2,rake_3,rake_4,out_f_setting,out_c_setting,reward,done,error,sum_error
2022-01-22 23:25:00,37.3,63.0,769.0,174.0,49.3,0.224,45.0,25.7,25.1,26.0,25.8,150.0,62.5,-3.998355678359369,0,-3.998355678359369,-3.998355678359369
2022-01-22 23:30:00,34.0,62.7,470.0,186.0,49.5,5.87,45.0,25.0,24.6,25.0,25.4,150.0,62.5,-3.706992650545283,0,-3.706992650545283,-6.505841625396841
2022-01-22 23:35:00,39.9,62.4,721.0,185.0,49.9,0.224,45.0,24.1,25.4,25.0,25.2,150.0,62.5,-3.6685071502074833,0,-3.6685071502074833,-8.222596287985272
2022-01-22 23:40:00,35.1,62.6,774.0,179.0,51.0,0.224,45.0,24.4,24.0,24.4,25.4,150.0,62.5,-3.6235364491626343,0,-3.6235364491626343,-9.379353850752324
2022-01-22 23:45:00,35.1,62.0,776.0,199.0,50.3,0.224,45.0,24.7,24.6,24.9,24.7,150.0,62.5,-3.883408043768181,0,-3.883408043768181,-10.448955739294806
2022-01-22 23:50:00,33.7,62.9,590.0,175.0,50.7,0.224,45.0,25.3,26.0,25.9,26.1,150.0,62.5,-3.93077606355108,0,-3.93077606355108,-11.245045081057444
2022-01-22 23:55:00,35.2,62.8,794.0,185.0,50.0,0.203,45.0,25.3,27.3,27.2,26.8,150.0,62.5,-3.9730916473774904,0,-3.9730916473774904,-11.8446232041177
2022-01-23 00:00:00,25.2,62.0,503.0,191.0,50.7,0.203,45.0,26.1,26.9,26.5,26.6,150.0,62.5,-4.11342692011503,0,-4.11342692011503,-12.40466316299742
2022-01-23 00:05:00,33.2,61.9,697.0,177.0,50.4,0.203,45.0,27.6,28.1,28.0,28.6,150.0,62.5,-4.446139652935439,0,-4.446139652935439,-13.12940386703363
2022-01-23 00:10:00,27.3,64.4,519.0,163.0,50.7,0.203,45.0,27.2,27.5,28.7,28.1,150.0,62.5,-7.667140842233157,0,-7.667140842233157,-16.8577235491567
2022-01-23 00:15:00,29.4,63.1,644.0,181.0,50.0,0.203,45.0,29.3,29.9,28.9,30.5,150.0,62.5,-4.701745266721448,0,-4.701745266721448,-16.502151751131137
2022-01-23 00:20:00,26.8,64.3,595.0,195.0,51.2,0.203,45.0,28.5,31.3,30.7,30.7,150.0,62.5,-7.7014478873959185,0,-7.7014478873959185,-19.252954113187712
2022-01-23 00:25:00,30.4,63.0,606.0,181.0,49.9,0.203,45.0,28.0,29.3,29.9,30.3,150.0,62.5,-4.547535282791473,0,-4.547535282791473,-18.02460316202287
2022-01-23 00:30:00,38.0,63.1,580.0,164.0,50.9,0.203,45.0,28.0,28.8,27.4,29.6,150.0,62.5,-4.507190816077741,0,-4.507190816077741,-17.12441302949375
2022-01-23 00:35:00,39.2,64.4,642.0,167.0,50.0,0.224,45.0,29.3,28.8,29.0,30.5,150.0,62.5,-7.909798518400688,0,-7.909798518400688,-19.896887639046312
2022-01-23 00:40:00,32.7,63.7,641.0,199.0,50.4,0.224,45.0,29.3,31.1,30.9,32.5,150.0,62.5,-6.023967585965102,0,-6.023967585965102,-19.95178893329752
2022-01-23 00:45:00,31.3,61.8,444.0,181.0,50.6,0.224,45.0,30.9,31.5,31.6,31.6,150.0,62.5,-5.151718954559075,0,-5.151718954559075,-19.11797120786734
2022-01-23 00:50:00,36.3,61.9,583.0,177.0,51.0,0.224,45.0,29.1,30.1,31.3,31.3,150.0,62.5,-4.846868837944029,0,-4.846868837944029,-18.229448683451164
2022-01-23 00:55:00,33.6,65.2,630.0,191.0,51.1,0.231,45.0,29.3,30.5,30.2,31.6,150.0,62.5,-11.766572533053301,0,-11.766572533053301,-24.527186611469116
2022-01-23 01:00:00,34.3,64.6,539.0,184.0,49.7,0.224,45.0,29.3,30.3,30.6,30.5,150.0,62.5,-8.842897394312157,0,-8.842897394312157,-26.011928022340538
2022-01-23 01:05:00,37.7,62.6,623.0,194.0,50.0,0.224,45.0,29.1,31.1,30.0,29.9,150.0,62.5,-4.418021206719302,0,-4.418021206719302,-22.62637082235768
2022-01-23 01:10:00,32.0,62.8,552.0,171.0,49.6,0.224,45.0,28.9,29.1,30.4,31.5,150.0,62.5,-4.493514853338589,0,-4.493514853338589,-20.331974428988964
2022-02-22 20:30:00,23.5,61.2,652.0,133.0,45.6,0.116,45.0,26.9,27.5,30.2,26.8,140.0,62.0,-4.70269595953921,1,-4.70269595953921,-12.376145819291928
2022-02-23 08:05:00,28.2,59.4,558.0,133.0,39.1,1.2,45.0,9.62,10.7,11.4,11.1,140.23035400390802,62.0,-9.243918959396813,0,-9.243918959396813,-9.243918959396813
2022-02-23 08:10:00,37.2,61.1,533.0,135.0,39.8,1.18,45.0,9.87,10.6,11.4,11.7,140.0,62.0,-3.3045580048787246,0,-3.3045580048787246,-3.3045580048787246
2022-02-23 08:15:00,31.3,60.5,588.0,142.0,38.5,1.16,45.0,9.95,10.7,11.4,11.3,140.0,62.0,-4.741224909545995,0,-4.741224909545995,-4.741224909545995
2022-02-23 08:20:00,35.5,59.9,519.0,146.0,39.8,1.16,45.0,9.94,10.4,12.0,11.3,140.0,62.0,-6.905714811090447,0,-6.905714811090447,-6.905714811090447
2022-02-23 08:25:00,28.1,60.4,520.0,135.0,39.6,1.18,45.0,10.1,10.6,11.9,12.0,140.0,62.0,-5.069427457530177,0,-5.069427457530177,-5.069427457530177
2022-02-23 08:30:00,36.9,59.5,568.0,133.0,39.8,1.2,45.0,10.5,11.0,11.7,11.9,140.0,62.0,-8.766132498270412,0,-8.766132498270412,-8.766132498270412
2022-02-23 08:35:00,33.6,59.1,606.0,150.0,40.7,1.18,45.0,9.72,11.4,11.7,11.7,140.0,62.0,-10.918273952625146,0,-10.918273952625146,-10.918273952625146
2022-02-23 08:40:00,27.5,60.0,511.0,140.0,39.7,1.18,45.0,9.45,10.6,11.4,11.3,140.0,62.0,-6.483126094631303,0,-6.483126094631303,-6.483126094631303
2022-02-23 08:45:00,29.6,58.8,469.0,139.0,40.2,1.18,45.0,9.66,10.4,11.6,11.7,140.0,62.0,-12.731864859041808,0,-12.731864859041808,-12.731864859041808
2022-02-23 08:55:00,30.5,59.3,652.0,149.0,41.5,1.24,45.0,11.2,11.5,12.5,11.9,140.0,62.0,-9.835147656937467,0,-9.835147656937467,-9.835147656937467
2022-02-23 09:00:00,32.7,59.7,641.0,144.0,40.5,1.26,45.0,10.3,11.6,12.6,12.1,140.0,62.0,-7.828463627645602,0,-7.828463627645602,-7.828463627645602
2022-02-23 09:05:00,35.5,61.4,704.0,140.0,40.8,1.28,45.0,10.6,11.0,11.4,12.2,140.0,62.0,-2.8776266788094813,0,-2.8776266788094813,-2.8776266788094813
2022-02-23 09:10:00,35.9,59.0,698.0,139.0,40.9,1.26,45.0,10.8,11.4,12.7,12.6,140.0,62.0,-11.551608999625554,0,-11.551608999625554,-11.551608999625554
2022-02-23 09:15:00,32.0,60.9,653.0,139.0,41.6,1.26,45.0,10.9,12.5,13.4,13.2,140.0,62.0,-3.7995940191191218,0,-3.7995940191191218,-3.7995940191191218
2022-02-23 09:20:00,28.3,58.5,597.0,142.0,41.2,1.24,45.0,11.3,12.3,13.3,12.6,140.0,62.0,-14.831376048616194,0,-14.831376048616194,-14.831376048616194
2022-02-23 09:25:00,38.3,59.2,660.0,138.0,41.3,1.24,45.0,11.0,11.6,12.7,12.6,140.0,62.0,-10.397343661965444,0,-10.397343661965444,-10.397343661965444
2022-02-23 09:30:00,30.4,59.7,600.0,141.0,41.2,1.22,45.0,10.9,12.1,12.9,12.4,140.0,62.0,-7.853354964400178,0,-7.853354964400178,-7.853354964400178
2022-02-23 09:35:00,29.3,59.2,597.0,142.0,42.1,1.22,45.0,11.9,13.0,13.8,13.4,140.0,62.0,-10.461346369308448,0,-10.461346369308448,-10.461346369308448
2022-02-23 09:40:00,28.4,59.9,606.0,139.0,41.7,1.2,45.0,11.6,12.7,13.5,13.2,140.08422526041588,62.0,-7.0143040955568345,0,-7.0143040955568345,-7.0143040955568345
2022-02-23 09:45:00,32.9,60.3,571.0,147.0,42.1,1.11,45.0,12.1,12.3,13.3,12.7,153.39759704589406,62.0,-5.48464436944219,0,-5.48464436944219,-5.48464436944219
2022-02-23 09:50:00,35.4,59.8,565.0,145.0,41.6,1.11,45.0,11.5,12.7,13.5,13.3,160.83537597654546,62.0,-7.444425135827672,0,-7.444425135827672,-7.444425135827672
2022-02-23 09:55:00,29.2,60.0,523.0,140.0,42.4,1.14,45.0,11.6,12.7,13.8,13.2,152.21873901366013,62.0,-6.6091292213025294,0,-6.6091292213025294,-6.6091292213025294
2022-02-23 10:00:00,35.0,59.8,585.0,143.0,41.8,1.18,45.0,11.8,12.5,13.5,13.0,141.04985173543622,62.0,-7.441045404775041,0,-7.441045404775041,-7.441045404775041
2022-02-23 10:05:00,28.7,60.3,556.0,140.0,43.0,1.18,45.0,11.0,12.3,13.4,13.2,143.693915608732,62.0,-5.477980532194303,0,-5.477980532194303,-5.477980532194303
2022-02-23 10:10:00,33.7,60.4,506.0,138.0,41.8,1.16,45.0,12.5,12.9,14.0,13.7,140.0,62.0,-5.196856745842492,0,-5.196856745842492,-5.196856745842492
